id,latitude,longitude,matrix_id,type,fill_level,waste_kg,priority,elevation_m,nearest_node
3634,38.718101501,-9.424280167,328,container,0,0,1,78.0,888437293
3636,38.720298767,-9.43476963,329,container,0,0,1,97.0,893035406
3637,38.733001709,-9.439579964,330,container,0,0,1,92.0,1480163358
3638,38.734600067,-9.454380035,331,container,0,0,1,69.0,2786745803
3639,38.733501434,-9.450090408,332,container,0,0,1,72.0,2786745782
3640,38.730499268,-9.445119858,333,container,0,0,1,90.0,13868277737
3641,38.729801178,-9.446980476,334,container,0,0,1,85.0,1147280995
3642,38.728599548,-9.449299812,335,container,0,0,1,79.0,1147280882
3643,38.727100372,-9.450070381,336,container,0,0,1,67.0,1147280938
3644,38.725200653,-9.444709778,337,container,0,0,1,72.0,10591199107
3645,38.712299347,-9.444410324,338,container,0,0,1,57.0,4315101223
3646,38.717601776,-9.443490028,339,container,0,0,1,64.0,1835792997
3647,38.71490097,-9.447199821,340,container,0,0,1,56.0,2949939806
3648,38.716098785,-9.45263958,341,container,0,0,1,67.0,1155698259
3649,38.720298767,-9.462949753,342,container,0,0,1,64.0,13916563358
3650,38.732398987,-9.467510223,343,container,0,0,1,20.0,601055139
3651,38.721599579,-9.466259956,344,container,0,0,1,58.0,1383335871
3652,38.715099335,-9.463190079,345,container,0,0,1,66.0,1383335658
3653,38.708999634,-9.447230339,346,container,0,0,1,65.0,1835792028
3654,38.711799622,-9.446960449,347,container,0,0,1,50.0,1835792662
3655,38.695800781,-9.441720009,348,container,0,0,1,35.0,9845645116
3656,38.696300507,-9.443039894,349,container,0,0,1,34.0,330434935
3657,38.6977005,-9.444589615,350,container,0,0,1,42.0,1155654547
3658,38.70059967,-9.445010185,351,container,0,0,1,50.0,330434921
3659,38.703201294,-9.445030212,352,container,0,0,1,57.0,330434887
3661,38.707199097,-9.449270248,353,container,0,0,1,58.0,699709123
3663,38.706001282,-9.453519821,354,container,0,0,1,63.0,9159524566
3664,38.707401276,-9.457770348,355,container,0,0,1,64.0,448741517
3666,38.715400696,-9.435230255,356,container,0,0,1,69.0,412816405
3667,38.716701508,-9.432760239,357,container,0,0,1,61.0,2434965187
3668,38.717601776,-9.431790352,358,container,0,0,1,55.0,888437109
3669,38.697498322,-9.423469543,359,container,0,0,1,27.0,1651595425
3670,38.701900482,-9.419839859,360,container,0,0,1,20.0,9845677437
3671,38.710998535,-9.422439575,361,container,0,0,1,57.0,892584148
3673,38.709201813,-9.423740387,362,container,0,0,1,59.0,892584113
3675,38.721401215,-9.465310097,363,container,0,0,1,57.0,1155698700
3676,38.705898285,-9.430950165,364,container,0,0,1,57.0,4610520542
3679,38.698001862,-9.419989586,365,container,0,0,1,7.0,258723354
3683,38.698600769,-9.421489716,366,container,0,0,1,13.0,330353867
3686,38.699798584,-9.418970108,367,container,0,0,1,14.0,309804727
3688,38.719398499,-9.446660042,368,container,0,0,1,64.0,2786745929
3690,38.699798584,-9.418410301,369,container,0,0,1,14.0,309804727
3692,38.700099945,-9.420619965,370,container,0,0,1,11.0,1292125574
3694,38.700000763,-9.421330452,371,container,0,0,1,18.0,1155655151
3696,38.69839859,-9.420180321,372,container,0,0,1,9.0,310632748
3698,38.700401306,-9.41821003,373,container,0,0,1,11.0,309799444
3700,38.697498322,-9.42249012,374,container,0,0,1,20.0,1106416385
3703,38.69549942,-9.421019554,375,container,0,0,1,19.0,1106416971
3705,38.704299927,-9.436450005,376,container,0,0,1,52.0,893543869
3706,38.699401855,-9.438639641,377,container,0,0,1,48.0,1091269534
3707,38.703300476,-9.432559967,378,container,0,0,1,38.0,1439115814
3708,38.706699371,-9.425279617,379,container,0,0,1,45.0,894685011
3709,38.705200195,-9.447270393,380,container,0,0,1,61.0,330434950
3710,38.72700119,-9.44742012,381,container,0,0,1,69.0,1147280953
3711,38.710800171,-9.418199539,382,container,0,0,1,62.0,9159697914
3712,38.715198517,-9.437410355,383,container,0,0,1,67.0,412816394
3713,38.706600189,-9.430330276,384,container,0,0,1,64.0,1106304533
3714,38.698001862,-9.442609787,385,container,0,0,1,43.0,2433637930
3716,38.708999634,-9.416830063,386,container,0,0,1,57.0,1155654382
3717,38.727600098,-9.444660187,387,container,0,0,1,78.0,1147280900
3718,38.702701569,-9.429579735,388,container,0,0,1,48.0,1155714377
3719,38.71269989,-9.439109802,389,container,0,0,1,54.0,1835791856
3720,38.732601166,-9.452320099,390,container,0,0,1,67.0,4129873722
3721,38.715999603,-9.441789627,391,container,0,0,1,64.0,330347565
